FUNCTION_TO_MODEL,SEQUENCE_LENGTH,VOCAB_SIZE,NUM_BASE_TRAINING_SAMPLES,PERCENTAGE_SAMPLES_TO_ADD,ADDITIONAL_DATA_IS_ALTERNATIVE_DATA,NUM_SYNONYMS_PER_TOKEN,NUM_TEST_SAMPLES,HIDDEN_DIM,DROPOUT,EPOCHS,BATCH_SIZE,Training Accuracy,Test Accuracy
identity,5,10,1000,1,False,5,1000,150,0.5,100,32,0.6459166684150696,0.805
identity,5,10,1000,1,True,5,1000,150,0.5,100,32,0.5923333373069763,0.624
identity,5,10,1000,2,False,5,1000,150,0.5,100,32,0.633388886610667,0.894
identity,5,10,1000,2,True,5,1000,150,0.5,100,32,0.5432777760823567,0.732
identity,5,10,1000,3,False,5,1000,150,0.5,100,32,0.628291666507721,0.966
identity,5,10,1000,3,True,5,1000,150,0.5,100,32,0.5204166657924653,0.753
identity,5,10,1000,4,False,5,1000,150,0.5,100,32,0.6167333303451538,0.977
identity,5,10,1000,4,True,5,1000,150,0.5,100,32,0.5027999969482422,0.773
identity,5,10,1000,5,False,5,1000,150,0.5,100,32,0.6039444446563721,0.983
identity,5,10,1000,5,True,5,1000,150,0.5,100,32,0.49455555494626363,0.805
identity,5,10,1000,0,False,5,1000,150,0.5,50,32,0.3893333327770233,0.029
identity,5,10,1000,8,False,5,1000,150,0.5,50,32,0.4422037039597829,0.999
identity,5,10,1000,8,True,5,1000,150,0.5,50,32,0.4059259252548218,0.836
identity,5,10,1000,10,False,5,1000,150,0.5,50,32,0.4397121216167103,0.999
identity,5,10,1000,10,True,5,1000,150,0.5,50,32,0.39613636352799153,0.831
