FUNCTION_TO_MODEL,SEQUENCE_LENGTH,VOCAB_SIZE,NUM_BASE_TRAINING_SAMPLES,PERCENTAGE_SAMPLES_TO_ADD,ADDITIONAL_DATA_IS_ALTERNATIVE_DATA,NUM_SYNONYMS_PER_TOKEN,NUM_TEST_SAMPLES,HIDDEN_DIM,DROPOUT,EPOCHS,BATCH_SIZE,Training Accuracy,Test Accuracy
identity,5,10,10,0,FALSE,0,1000,150,0.5,100,32,0.683333337,0
identity,5,10,10,0,FALSE,0,1000,150,0.5,50,32,0.516666651,0
identity,5,10,100,0,FALSE,0,1000,150,0.5,50,32,0.448333334,0.002
identity,5,10,1000,0,FALSE,0,1000,150,0.5,50,32,0.840666667,0.69
identity,5,10,2000,0,FALSE,0,1000,150,0.5,50,32,0.918583333,0.937
identity,5,10,4000,0,FALSE,0,1000,150,0.5,50,32,0.942125001,0.996
identity,5,10,10000,0,FALSE,0,1000,150,0.5,50,32,0.94835,0.999
identity,5,100,100,0,FALSE,0,1000,150,0.5,50,32,0.328333327,0
identity,5,100,1000,0,FALSE,0,1000,150,0.5,50,32,0.547999994,0.001
identity,5,100,2000,0,FALSE,0,1000,150,0.5,50,32,0.655333331,0.014
identity,5,100,4000,0,FALSE,0,1000,150,0.5,50,32,0.789916667,0.328
identity,5,100,6000,0,FALSE,0,1000,150,0.5,50,32,0.861555555,0.812
identity,5,100,8000,0,FALSE,0,1000,150,0.5,50,32,0.899625001,0.954
identity,5,100,10000,0,FALSE,0,1000,150,0.5,50,32,0.918216667,0.998
identity,5,1000,1000,0,FALSE,0,1000,150,0.5,50,32,0.529166667,0
identity,5,1000,10000,0,FALSE,0,1000,150,0.5,50,32,0.759216666,0.03
identity,5,1000,100000,0,FALSE,0,1000,150,0.5,50,32,0.936558333,1
identity,10,10,1000,0,FALSE,0,1000,150,0.5,50,32,0.615272729,0
identity,10,10,10000,0,FALSE,0,1000,150,0.5,50,32,0.944872727,0.973
identity,10,100,10000,0,FALSE,0,1000,150,0.5,50,32,0.79020909,0.339
identity,10,100,20000,0,FALSE,0,1000,150,0.5,50,32,0.906354546,0.948
identity,10,100,100000,0,FALSE,0,1000,150,0.5,50,32,0.937557273,1
identity,5,10,100,0,FALSE,0,1000,150,0.5,100,32,0.53833334,0.008
identity,5,10,1000,0,FALSE,0,1000,150,0.5,100,32,0.919333328,0.89
identity,5,10,2000,0,FALSE,0,1000,150,0.5,100,32,0.94425,0.988
identity,5,10,4000,0,FALSE,0,1000,150,0.5,100,32,0.949083331,1
identity,5,10,10000,0,FALSE,0,1000,150,0.5,100,32,0.954566667,1
identity,5,100,100,0,FALSE,0,1000,150,0.5,100,32,0.508333346,0
identity,5,100,1000,0,FALSE,0,1000,150,0.5,100,32,0.740500001,0.006
identity,5,100,2000,0,FALSE,0,1000,150,0.5,100,32,0.821833333,0.128
identity,5,100,4000,0,FALSE,0,1000,150,0.5,100,32,0.900749999,0.714
identity,5,100,10000,0,FALSE,0,1000,150,0.5,100,32,0.936083332,0.995
identity,10,10,1000,0,FALSE,0,1000,150,0.5,100,32,0.764727271,0.022
identity,10,10,10000,0,FALSE,0,1000,150,0.5,100,32,0.955390908,0.995
identity,10,100,10000,0,FALSE,0,1000,150,0.5,100,32,0.899990909,0.854
identity,10,100,100000,0,FALSE,0,1000,150,0.5,100,32,0.938233637,1identity,5,1000,50000,0,False,0,1000,150,0.5,50,32,0.9338266669273376,0.996
identity,5,1000,20000,0,False,0,1000,150,0.5,50,32,0.8947416666030884,0.779
